iter	RMSE
0	1.602862603
1	1.558998029
2	1.508966188
3	1.472431308
4	1.427525876
5	1.384687104
6	1.356236544
7	1.32894524
8	1.297844901
9	1.280683901
10	1.255189096
11	1.229180955
12	1.215397281
13	1.19871807
14	1.173450945
15	1.157386408
16	1.142177862
17	1.133153168
18	1.123516503
19	1.115728832
20	1.105590935
21	1.099035249
22	1.095477882
23	1.086343364
24	1.081947253
25	1.07441738
26	1.065749161
27	1.058376913
28	1.053746015
29	1.044168723
30	1.039286411
31	1.033203013
32	1.030374712
33	1.024627892
34	1.021392534
35	1.01550007
36	1.01314161
37	1.009663078
38	1.006867775
39	1.003224236
40	1.000409402
41	0.9970602137
42	0.9927211641
43	0.9892905571
44	0.986754262
45	0.9839671992
46	0.9779845474
47	0.9750242196
48	0.9725431058
49	0.9694811595
50	0.9672113025
51	0.9631926516
52	0.9605245044
53	0.9558866253
54	0.953449726
55	0.9509495056
56	0.9485078683
57	0.9465055728
58	0.9449829878
59	0.9425572754
60	0.9412019818
61	0.9391960524
62	0.9367056444
63	0.9348193826
64	0.9324887103
65	0.9305023824
66	0.9281628611
67	0.9262727644
68	0.9229309105
69	0.9194621565
70	0.9183803135
71	0.9168865243
72	0.915600897
73	0.9141315293
74	0.9126720553
75	0.9106567092
76	0.9091933203
77	0.906415456
78	0.9046219592
79	0.903209119
80	0.9019196863
81	0.8991243265
82	0.8969017474
83	0.8958236062
84	0.893634067
85	0.8920498632
86	0.8909694482
87	0.8884730344
88	0.8860118023
89	0.8832218677
90	0.8813865578
91	0.8792742755
92	0.8776582133
93	0.8764922698
94	0.8753050953
95	0.8740723029
96	0.8721144788
97	0.8682340994
98	0.8668459629
99	0.8651297513
100	0.8636129939
101	0.86167921
102	0.861006958
103	0.858810248
104	0.8572946859
105	0.8564154907
106	0.8545065995
107	0.853236278
108	0.8517035923
109	0.8505028154
110	0.8493299726
111	0.847833153
112	0.8468606767
113	0.8459901714
114	0.8439231988
115	0.8431545061
116	0.8411756288
117	0.8402209709
118	0.8387588273
119	0.8374482819
120	0.8364313121
121	0.8341524898
122	0.8329227405
123	0.8322825073
124	0.8309270789
125	0.8297867092
126	0.8281568562
127	0.8268674146
128	0.8248964511
129	0.8230626612
130	0.8218479557
131	0.8205650225
132	0.8187909979
133	0.8177565469
134	0.8166447229
135	0.8151453274
136	0.8142014835
