iter	Passed	Remaining
0	7	3751
1	14	3613
2	21	3602
3	28	3489
4	35	3512
5	41	3452
6	48	3429
7	55	3426
8	61	3380
9	68	3358
10	76	3390
11	82	3357
12	88	3299
13	94	3272
14	100	3234
15	105	3206
16	112	3187
17	117	3156
18	123	3131
19	129	3103
20	135	3086
21	142	3089
22	148	3071
23	154	3070
24	160	3057
25	167	3048
26	174	3051
27	180	3040
28	186	3030
29	193	3026
30	199	3012
31	205	3004
32	211	2995
33	218	2997
34	225	2989
35	231	2980
36	237	2972
37	244	2967
38	250	2961
39	257	2955
40	262	2943
41	269	2939
42	276	2935
43	282	2926
44	288	2915
45	295	2913
46	301	2901
47	307	2895
48	314	2894
49	321	2892
50	327	2882
51	333	2871
52	339	2865
53	346	2861
54	352	2849
55	358	2840
56	365	2836
57	370	2823
58	376	2814
59	382	2807
60	388	2798
61	397	2806
62	403	2799
63	409	2790
64	415	2781
65	421	2771
66	428	2768
67	434	2759
68	440	2752
69	447	2749
70	453	2739
71	460	2734
72	465	2724
73	471	2714
74	476	2702
75	482	2692
76	488	2683
77	495	2681
78	502	2677
79	508	2668
80	514	2661
81	521	2656
82	527	2649
83	534	2644
84	541	2644
85	547	2633
86	553	2625
87	559	2619
88	565	2612
89	572	2609
90	578	2602
91	585	2597
92	591	2589
93	598	2584
94	604	2578
95	610	2570
96	617	2566
97	624	2560
98	630	2553
99	636	2546
100	643	2542
101	650	2537
102	656	2529
103	662	2522
104	668	2516
105	675	2509
106	681	2503
107	687	2496
108	693	2487
109	700	2483
110	706	2476
111	712	2469
112	719	2463
113	725	2456
114	732	2450
115	738	2444
116	744	2438
117	751	2432
118	757	2423
119	763	2417
120	770	2412
121	776	2406
122	782	2398
123	788	2390
124	794	2382
125	800	2375
126	806	2368
127	812	2360
128	818	2353
129	825	2348
130	831	2341
131	836	2332
132	844	2328
133	850	2321
134	855	2313
135	862	2307
136	868	2301
137	875	2295
138	882	2291
139	888	2284
140	894	2278
141	902	2275
142	910	2273
143	918	2269
144	925	2264
145	931	2259
146	937	2250
147	943	2243
148	950	2238
149	955	2230
150	962	2223
151	967	2214
152	973	2207
153	979	2199
154	985	2193
155	992	2187
156	997	2180
157	1003	2173
158	1010	2167
159	1015	2158
160	1021	2151
161	1027	2144
162	1034	2138
163	1041	2132
164	1047	2127
165	1054	2120
166	1061	2116
167	1066	2108
168	1072	2101
169	1079	2095
170	1085	2088
171	1092	2082
172	1098	2075
173	1103	2067
174	1110	2062
175	1116	2055
176	1122	2049
177	1128	2042
178	1134	2034
179	1141	2028
180	1147	2022
181	1153	2016
182	1161	2011
183	1167	2004
184	1173	1998
185	1180	1993
186	1186	1985
187	1193	1980
188	1198	1972
189	1205	1966
190	1211	1959
191	1216	1952
192	1231	1959
193	1237	1951
194	1244	1946
195	1250	1939
196	1257	1934
197	1264	1928
198	1270	1921
199	1276	1915
200	1282	1907
201	1288	1900
202	1294	1893
203	1299	1885
204	1305	1878
205	1311	1871
206	1317	1865
207	1324	1860
208	1330	1853
209	1337	1846
210	1344	1841
211	1350	1834
212	1356	1827
213	1361	1820
214	1368	1814
215	1381	1816
216	1388	1810
217	1393	1803
218	1399	1795
219	1405	1788
220	1411	1781
221	1417	1775
222	1425	1770
223	1430	1762
224	1437	1757
225	1443	1750
226	1449	1743
227	1456	1737
228	1461	1729
229	1468	1723
230	1474	1716
231	1480	1710
232	1486	1703
233	1493	1697
234	1498	1689
235	1505	1684
236	1512	1677
237	1517	1670
238	1523	1664
239	1530	1657
240	1536	1651
241	1543	1645
242	1549	1639
243	1556	1633
244	1562	1625
245	1568	1619
246	1574	1612
247	1580	1606
248	1587	1599
249	1593	1593
250	1600	1587
251	1607	1581
252	1612	1574
253	1619	1568
254	1625	1561
255	1631	1554
256	1637	1548
257	1644	1542
258	1649	1535
259	1655	1528
260	1661	1521
261	1667	1514
262	1672	1507
263	1678	1500
264	1684	1493
265	1691	1487
266	1696	1480
267	1703	1474
268	1710	1468
269	1715	1461
270	1721	1454
271	1727	1447
272	1733	1441
273	1740	1435
274	1746	1428
275	1752	1422
276	1758	1415
277	1764	1409
278	1771	1403
279	1777	1396
280	1782	1389
281	1789	1383
282	1796	1377
283	1802	1371
284	1808	1364
285	1814	1357
286	1820	1351
287	1827	1344
288	1834	1339
289	1840	1333
290	1846	1326
291	1853	1319
292	1858	1313
293	1865	1307
294	1871	1300
295	1878	1294
296	1883	1287
297	1890	1281
298	1897	1275
299	1909	1272
300	1915	1266
301	1922	1260
302	1928	1253
303	1935	1247
304	1940	1240
305	1946	1234
306	1952	1227
307	1959	1221
308	1967	1216
309	1973	1209
310	1980	1203
311	1986	1197
312	1992	1190
313	1998	1183
314	2005	1177
315	2011	1171
316	2017	1164
317	2023	1158
318	2030	1151
319	2035	1145
320	2042	1138
321	2049	1133
322	2056	1126
323	2062	1120
324	2069	1114
325	2075	1107
326	2080	1100
327	2087	1094
328	2093	1088
329	2100	1082
330	2106	1075
331	2112	1069
332	2119	1062
333	2125	1056
334	2131	1049
335	2137	1043
336	2143	1036
337	2151	1031
338	2157	1024
339	2163	1018
340	2170	1012
341	2176	1005
342	2183	999
343	2189	993
344	2196	986
345	2203	980
346	2208	973
347	2215	967
348	2221	961
349	2227	954
350	2233	948
351	2239	941
352	2245	934
353	2250	928
354	2256	921
355	2262	915
356	2269	909
357	2276	902
358	2283	896
359	2289	890
360	2296	884
361	2302	877
362	2308	871
363	2315	865
364	2321	858
365	2328	852
366	2333	845
367	2341	839
368	2347	833
369	2353	826
370	2359	820
371	2364	813
372	2370	807
373	2376	800
374	2382	794
375	2388	787
376	2394	781
377	2400	774
378	2407	768
379	2412	761
380	2418	755
381	2425	749
382	2432	742
383	2438	736
384	2444	730
385	2450	723
386	2456	717
387	2462	710
388	2468	704
389	2475	698
390	2481	691
391	2488	685
392	2495	679
393	2500	672
394	2506	666
395	2513	660
396	2518	653
397	2525	647
398	2532	640
399	2538	634
400	2544	628
401	2551	622
402	2559	616
403	2565	609
404	2571	603
405	2577	596
406	2584	590
407	2589	583
408	2595	577
409	2602	571
410	2608	564
411	2615	558
412	2621	552
413	2628	545
414	2634	539
415	2640	533
416	2647	526
417	2653	520
418	2659	514
419	2665	507
420	2672	501
421	2678	495
422	2684	488
423	2690	482
424	2697	476
425	2703	469
426	2710	463
427	2716	456
428	2723	450
429	2729	444
430	2736	438
431	2742	431
432	2750	425
433	2756	419
434	2762	412
435	2768	406
436	2775	400
437	2783	393
438	2791	387
439	2798	381
440	2804	375
441	2810	368
442	2816	362
443	2822	356
444	2829	349
445	2835	343
446	2841	336
447	2847	330
448	2853	324
449	2861	317
450	2866	311
451	2872	305
452	2878	298
453	2884	292
454	2890	285
455	2896	279
456	2903	273
457	2909	266
458	2915	260
459	2922	254
460	2928	247
461	2935	241
462	2942	235
463	2948	228
464	2964	223
465	2971	216
466	2979	210
467	2985	204
468	2991	197
469	2997	191
470	3003	184
471	3009	178
472	3015	172
473	3022	165
474	3028	159
475	3035	153
476	3042	146
477	3048	140
478	3054	133
479	3060	127
480	3067	121
481	3073	114
482	3079	108
483	3085	102
484	3092	95
485	3098	89
486	3105	82
487	3111	76
488	3117	70
489	3124	63
490	3130	57
491	3136	50
492	3143	44
493	3149	38
494	3154	31
495	3160	25
496	3166	19
497	3172	12
498	3179	6
499	3185	0
