iter	RMSE
0	1.612959243
1	1.56155089
2	1.506927348
3	1.466808978
4	1.42716316
5	1.389077097
6	1.355059192
7	1.326144167
8	1.294039953
9	1.271243438
10	1.246022628
11	1.231390454
12	1.221032542
13	1.205817339
14	1.188029857
15	1.169513646
16	1.156820275
17	1.141803465
18	1.128979838
19	1.119514447
20	1.110314581
21	1.103540796
22	1.096727057
23	1.088110667
24	1.080162453
25	1.069899812
26	1.065218229
27	1.058983146
28	1.052273585
29	1.047878104
30	1.044475024
31	1.03878661
32	1.037033871
33	1.033336291
34	1.027472538
35	1.023211736
36	1.019872374
37	1.017487116
38	1.011942714
39	1.007039914
40	1.004225617
41	0.9986613729
42	0.9943607388
43	0.9922824324
44	0.9886767337
45	0.9856790241
46	0.9832690258
47	0.97882794
48	0.9770305891
49	0.97515037
50	0.9733339181
51	0.9703574947
52	0.9686441588
53	0.9647344988
54	0.9628887987
55	0.9609352545
56	0.9599354463
57	0.9583430993
58	0.9559506222
59	0.9542146263
60	0.9521259276
61	0.9495667651
62	0.9453939984
63	0.9432498741
64	0.9415118987
65	0.93798787
66	0.9345273755
67	0.9329631353
68	0.9300451444
69	0.9273496595
70	0.9255840646
71	0.9245546886
72	0.9216284893
73	0.9206531983
74	0.9193963391
75	0.9166562584
76	0.915736281
77	0.9128152546
78	0.9106678168
79	0.9092507759
80	0.9080411476
81	0.9066884318
82	0.904247622
83	0.9011469462
84	0.8994267256
85	0.8981827543
86	0.8966192943
87	0.8947059078
88	0.8921137992
89	0.890785789
90	0.8889647187
91	0.8876274076
92	0.8863741268
93	0.8850039398
94	0.8831901121
95	0.8819385146
96	0.8804985259
97	0.8787299971
98	0.8768095267
99	0.8750369438
100	0.8737241462
101	0.8717442922
102	0.8702330678
103	0.8690831225
104	0.8678133103
105	0.8666229369
106	0.8641612914
107	0.8623729259
108	0.8609652317
109	0.859540944
110	0.8579115791
111	0.856202652
112	0.8543395554
113	0.852615243
114	0.8517228738
115	0.849663677
116	0.8484024881
117	0.8456135429
118	0.8442171245
119	0.8424155622
120	0.8417434881
121	0.8405147759
122	0.8395864188
123	0.8382353141
124	0.8373229079
125	0.8354477428
126	0.8331584845
127	0.8314566216
128	0.8306012871
129	0.829560514
130	0.8291745466
131	0.8278315992
132	0.8262422542
133	0.8247301205
134	0.8233169109
135	0.8227062462
136	0.8217878834
137	0.8206636184
138	0.819740471
139	0.817612428
140	0.8160609966
141	0.8149074369
142	0.8139378827
143	0.8129181119
144	0.8113931736
145	0.8096999338
146	0.8087489263
147	0.8077608212
148	0.8062365664
149	0.805582332
150	0.8027956969
151	0.801820429
152	0.8009540886
153	0.8004508863
154	0.7986039224
155	0.796088514
156	0.7952189684
157	0.7927515165
158	0.7914829564
159	0.7903608924
160	0.7890717506
161	0.7882771107
162	0.7874345493
163	0.7858854883
164	0.7851882381
165	0.7837319191
166	0.7829143331
167	0.7817058114
168	0.7806414077
169	0.7794153628
170	0.7785404856
171	0.7775235569
172	0.7760449422
173	0.7751707968
174	0.77362336
175	0.7726918546
176	0.7717629869
177	0.7713794757
178	0.7706250277
179	0.7696355385
180	0.7682392121
181	0.767197903
182	0.7663278098
183	0.765227407
184	0.7636438777
185	0.763026786
186	0.7619720531
187	0.7601145903
188	0.7591142924
189	0.757790606
190	0.757190277
191	0.7563277637
192	0.7552282956
193	0.7543216643
194	0.7537420285
195	0.7521694184
196	0.7503728728
197	0.7497990191
198	0.7492400853
199	0.7486464079
200	0.7478230742
201	0.7469073013
202	0.7464112627
203	0.7455856137
204	0.7449900253
205	0.7437482015
206	0.7418062428
207	0.7407761508
208	0.7397113015
209	0.7393620173
210	0.7388598406
211	0.7382488728
212	0.737673405
213	0.7370423143
214	0.7362343741
215	0.7358162844
216	0.7350667327
217	0.7344184643
218	0.7324736401
219	0.7317819567
220	0.7299369063
221	0.7294101054
222	0.7290736201
223	0.7285064233
224	0.72806858
225	0.7273666996
226	0.7264521447
227	0.7259429918
228	0.7249164923
229	0.7244617944
230	0.724117113
231	0.7227952024
232	0.7223958899
233	0.7219120002
234	0.7214782342
235	0.7210129548
236	0.7192534498
237	0.718432802
238	0.7174197913
239	0.7162484357
240	0.7151181792
241	0.7141654578
242	0.7134013253
243	0.7124337555
244	0.7119099891
245	0.7112185296
246	0.7104680398
247	0.7080571677
248	0.7072969054
249	0.7070695281
250	0.7064427479
251	0.7061135244
252	0.7055686704
253	0.70503052
254	0.7043990627
255	0.7039415264
256	0.7035238434
257	0.7030339385
258	0.7023784175
259	0.7018464812
260	0.7011627847
261	0.7005137959
262	0.7001684401
263	0.6997081505
264	0.6992818472
265	0.6989988018
266	0.6986915317
267	0.6982473123
268	0.6974905131
269	0.6972316383
270	0.6967684527
271	0.6962788423
272	0.6957969959
273	0.6950252079
274	0.6945838467
275	0.6941987427
276	0.6936603428
277	0.6928529014
278	0.6919258427
279	0.6912509552
280	0.6907771656
281	0.6901527401
282	0.689647022
283	0.6891054304
284	0.6884687607
285	0.6878664071
286	0.687087579
287	0.6867349823
288	0.6849240538
289	0.6844184986
290	0.6836469576
291	0.6831726103
292	0.6824534598
293	0.6818471261
294	0.6810605836
295	0.6802684614
296	0.6800563086
297	0.6789090664
298	0.6784789345
299	0.6781147387
300	0.6776124997
301	0.6762583575
302	0.6748211451
303	0.6745642782
304	0.6740187137
305	0.6737665553
306	0.6733141091
307	0.6727825106
308	0.6722908667
309	0.6719344197
310	0.6704884886
311	0.6697369433
312	0.6691839125
313	0.6687183113
314	0.6681659584
315	0.6678565499
316	0.6671005114
317	0.6663125109
318	0.6658067088
319	0.6654090439
320	0.665200683
321	0.6647698223
322	0.6637609868
323	0.6634515477
324	0.6631033125
325	0.661782936
326	0.6610597701
327	0.6607433836
328	0.6604460089
329	0.6600383178
330	0.6594090476
331	0.6589505836
332	0.6587080805
333	0.6582265874
334	0.6580028771
335	0.6574817726
336	0.6570382904
337	0.6566662758
338	0.6561365369
339	0.6555615125
340	0.6552046936
341	0.654605063
342	0.6542272561
343	0.6537450529
344	0.6527154783
345	0.6524209317
346	0.6520095601
347	0.6514792476
348	0.651119061
349	0.6507519614
350	0.6502799797
351	0.6493507406
352	0.648767211
353	0.6481527944
354	0.6476992495
355	0.647226417
356	0.6469987154
357	0.6467325572
358	0.6463548226
359	0.6460080271
360	0.6457173681
361	0.6451828016
362	0.6448174623
363	0.6445684732
364	0.6442335143
365	0.6435531339
366	0.6429714004
367	0.642760418
368	0.6421656588
369	0.6417628763
370	0.6412909231
371	0.6409922849
372	0.6406423783
373	0.6402435961
374	0.6399522771
375	0.6393635724
376	0.6388872319
377	0.6385808115
378	0.6379145706
379	0.6373073311
380	0.6367744724
381	0.6363463519
382	0.635166831
383	0.6346958065
384	0.6342983331
385	0.6339011264
386	0.6335659399
387	0.6330875861
388	0.6320778418
389	0.6316560129
390	0.6312109637
391	0.6308013057
392	0.6305727636
393	0.6303133752
394	0.6298513812
395	0.629451962
396	0.6289019471
397	0.6284842223
398	0.6281995215
399	0.6279091907
400	0.6273899456
401	0.6267641075
402	0.6257443174
403	0.6253871405
404	0.6249718378
405	0.6243887651
406	0.624169033
407	0.6240188971
408	0.6237485781
409	0.6234908941
410	0.6229394367
411	0.6224211065
412	0.62221543
413	0.6209506798
414	0.6207196535
415	0.620032846
416	0.6197061699
417	0.6191026525
418	0.6188404184
419	0.6184163435
420	0.6180051519
421	0.6175813942
422	0.6172093784
423	0.6167799262
424	0.6163693969
425	0.6161234577
426	0.6159428526
427	0.6154749311
428	0.6151429647
429	0.6146014858
430	0.6138918344
431	0.6134516918
432	0.6130379523
433	0.6119196371
434	0.611646557
435	0.6108039796
436	0.6102600705
