iter	Passed	Remaining
0	10	5479
1	24	6056
2	35	5869
3	48	5952
4	58	5746
5	68	5613
6	77	5477
7	87	5405
8	97	5317
9	106	5235
10	116	5192
11	129	5248
12	138	5174
13	149	5176
14	159	5144
15	168	5100
16	178	5062
17	188	5053
18	198	5021
19	208	5000
20	219	4999
21	228	4970
22	238	4952
23	250	4968
24	260	4946
25	270	4928
26	280	4919
27	290	4903
28	301	4889
29	310	4859
30	319	4833
31	330	4835
32	339	4800
33	349	4783
34	359	4774
35	369	4764
36	381	4768
37	391	4759
38	401	4744
39	412	4740
40	421	4722
41	433	4725
42	443	4710
43	453	4698
44	462	4679
45	472	4659
46	481	4645
47	491	4631
48	500	4610
49	509	4589
50	519	4577
51	530	4570
52	539	4552
53	549	4537
54	559	4524
55	568	4508
56	577	4488
57	586	4469
58	596	4457
59	605	4438
60	615	4426
61	626	4428
62	636	4412
63	646	4403
64	655	4389
65	666	4381
66	675	4365
67	684	4346
68	693	4333
69	704	4324
70	714	4316
71	722	4297
72	731	4277
73	740	4263
74	750	4253
75	759	4239
76	769	4228
77	780	4222
78	790	4211
79	800	4201
80	809	4189
81	819	4175
82	827	4158
83	837	4148
84	847	4136
85	857	4127
86	867	4117
87	877	4108
88	887	4098
89	896	4085
90	906	4073
91	915	4061
92	926	4055
93	936	4046
94	946	4036
95	956	4027
96	965	4010
97	974	3996
98	984	3986
99	993	3974
100	1002	3962
101	1011	3946
102	1020	3935
103	1030	3925
104	1040	3914
105	1050	3906
106	1059	3893
107	1070	3885
108	1080	3875
109	1090	3866
110	1099	3854
111	1111	3850
112	1121	3840
113	1131	3832
114	1140	3818
115	1149	3806
116	1158	3793
117	1169	3784
118	1180	3779
119	1193	3778
120	1202	3766
121	1211	3753
122	1221	3744
123	1232	3737
124	1243	3731
125	1253	3721
126	1263	3709
127	1273	3701
128	1283	3692
129	1294	3685
130	1304	3675
131	1314	3665
132	1325	3657
133	1335	3648
134	1346	3639
135	1356	3629
136	1365	3618
137	1375	3609
138	1386	3600
139	1396	3590
140	1406	3580
141	1417	3573
142	1427	3564
143	1437	3552
144	1446	3541
145	1455	3529
146	1466	3522
147	1476	3511
148	1486	3500
149	1497	3493
150	1507	3484
151	1517	3473
152	1526	3461
153	1536	3452
154	1546	3442
155	1555	3431
156	1565	3420
157	1575	3409
158	1584	3398
159	1594	3389
160	1605	3381
161	1616	3371
162	1625	3360
163	1636	3352
164	1645	3341
165	1654	3329
166	1664	3319
167	1673	3308
168	1683	3297
169	1695	3290
170	1704	3279
171	1715	3270
172	1725	3261
173	1734	3249
174	1745	3242
175	1755	3230
176	1764	3220
177	1773	3208
178	1783	3197
179	1793	3188
180	1802	3176
181	1814	3169
182	1823	3158
183	1834	3151
184	1845	3141
185	1854	3130
186	1864	3121
187	1874	3110
188	1884	3101
189	1894	3091
190	1904	3081
191	1915	3072
192	1928	3066
193	1940	3060
194	1951	3052
195	1965	3048
196	1979	3044
197	1991	3037
198	2001	3027
199	2012	3019
200	2022	3008
201	2033	2999
202	2044	2991
203	2056	2984
204	2066	2973
205	2075	2962
206	2088	2956
207	2097	2945
208	2108	2935
209	2117	2924
210	2128	2915
211	2140	2908
212	2150	2897
213	2162	2889
214	2172	2879
215	2187	2876
216	2198	2866
217	2208	2856
218	2219	2847
219	2229	2837
220	2244	2833
221	2253	2822
222	2262	2810
223	2275	2803
224	2286	2794
225	2297	2785
226	2308	2776
227	2318	2766
228	2330	2757
229	2340	2747
230	2351	2738
231	2360	2727
232	2371	2717
233	2382	2708
234	2394	2699
235	2403	2688
236	2412	2677
237	2422	2667
238	2433	2657
239	2443	2647
240	2456	2640
241	2465	2628
242	2474	2617
243	2486	2609
244	2495	2597
245	2505	2586
246	2515	2576
247	2528	2568
248	2539	2560
249	2549	2549
250	2559	2539
251	2570	2529
252	2582	2520
253	2592	2510
254	2602	2500
255	2611	2489
256	2623	2480
257	2634	2470
258	2644	2461
259	2654	2450
260	2662	2438
261	2674	2429
262	2685	2419
263	2694	2408
264	2705	2399
265	2714	2387
266	2724	2377
267	2735	2367
268	2745	2357
269	2753	2345
270	2764	2335
271	2773	2324
272	2784	2315
273	2793	2304
274	2802	2292
275	2811	2281
276	2820	2270
277	2830	2260
278	2839	2249
279	2849	2239
280	2859	2228
281	2871	2219
282	2881	2209
283	2889	2198
284	2900	2188
285	2911	2178
286	2921	2168
287	2930	2157
288	2939	2146
289	2950	2136
290	2960	2126
291	2970	2116
292	2981	2106
293	2990	2095
294	3003	2087
295	3015	2077
296	3024	2067
297	3034	2057
298	3044	2046
299	3055	2036
300	3066	2027
301	3077	2017
302	3087	2007
303	3097	1997
304	3107	1986
305	3116	1975
306	3127	1966
307	3137	1955
308	3149	1946
309	3159	1936
310	3169	1925
311	3178	1915
312	3188	1905
313	3198	1894
314	3208	1884
315	3219	1874
316	3230	1865
317	3242	1855
318	3253	1845
319	3265	1836
320	3274	1825
321	3284	1815
322	3294	1805
